src_ip,dst_ip,src_port,dst_port,length,label,flags_A,flags_ACK,flags_Echo Request,flags_FA,flags_FIN,flags_PA,flags_S,flags_SA,flags_SYN,protocol_ICMP,protocol_TCP,protocol_UDP
119.16.25.228,246.9.118.118,59268,140,208,normal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
185.41.49.226,124.172.89.72,39983,348,532,normal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
133.73.27.79,115.252.170.34,0,0,1436,normal,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
20.40.28.47,133.194.113.228,10459,644,1092,normal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
103.61.224.190,9.40.10.41,0,0,637,malicious,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
190.165.140.149,249.142.8.72,11854,47206,1052,normal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
72.66.34.113,159.122.96.187,64367,80,60,normal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
46.57.161.165,140.66.176.213,20557,759,570,normal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
128.154.111.12,194.252.80.148,65101,80,52,normal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
111.15.65.22,149.185.143.201,31219,14839,1246,normal,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
55.113.152.67,214.116.215.199,61045,342,1108,normal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
57.46.215.40,144.20.59.45,50717,80,47,normal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
57.241.197.235,114.72.95.174,25427,80,50,normal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
190.45.199.115,195.209.174.87,47670,280,540,normal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
